Consecutivo,Ticket,Asunto,FechaSolicitud,EstadoAtencion,FechaAtencion,FechaCierre
25,DL-0013262,Se reporta que DL-0013262 desde el sábado no se ha logrado hacer algo  funcional y  útil.,2026-01-01,En Atención,2026-01-04,
26,DL-0013263,Se reporta que DL-0013263 desde el viernes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Abierto,,
27,DL-0013264,Se reporta que DL-0013264 desde el domingo no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Atendido,2026-01-10,
28,DL-0013265,Se reporta que DL-0013265 desde el sábado no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
29,DL-0013266,Se reporta que DL-0013266 desde el viernes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,En Atención,2026-01-04,
30,DL-0013267,Se reporta que DL-0013267 desde el lunes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,En Atención,2026-01-06,
31,DL-0013268,Se reporta que DL-0013268 desde el viernes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
32,DL-0013269,Se reporta que DL-0013269 desde el martes no se ha logrado hacer algo al respecto.,2026-01-01,Abierto,,
33,DL-0013270,Se reporta que DL-0013270 desde el sábado no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,En Atención,2026-01-11,
34,DL-0013271,Se reporta que DL-0013271 desde el martes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Escalado,2026-01-12,
35,DL-0013272,Se reporta que DL-0013272 desde el sábado no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Cerrado,2026-01-03,2026-01-14
36,DL-0013273,Se reporta que DL-0013273 desde el sábado no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-12,
37,DL-0013274,Se reporta que DL-0013274 desde el martes no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-09,
38,DL-0013275,Se reporta que DL-0013275 desde el sábado no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Abierto,,
39,DL-0013276,Se reporta que DL-0013276 desde el miércoles no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,En Atención,2026-01-13,
40,DL-0013277,Se reporta que DL-0013277 desde el sábado no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Escalado,2026-01-03,
41,DL-0013278,Se reporta que DL-0013278 desde el lunes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Atendido,2026-01-09,
42,DL-0013279,Se reporta que DL-0013279 desde el viernes no se ha logrado hacer algo al respecto.,2026-01-01,Cerrado,2026-01-08,2026-01-17
43,DL-0013280,Se reporta que DL-0013280 desde el sábado no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Cerrado,2026-01-10,2026-01-22
44,DL-0013281,Se reporta que DL-0013281 desde el miércoles no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,En Atención,2026-01-15,
45,DL-0013282,Se reporta que DL-0013282 desde el lunes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,En Atención,2026-01-02,
46,DL-0013283,Se reporta que DL-0013283 desde el domingo no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
47,DL-0013284,Se reporta que DL-0013284 desde el sábado no se ha logrado hacer algo al respecto.,2026-01-01,Cerrado,2026-01-14,2026-01-26
48,DL-0013285,Se reporta que DL-0013285 desde el sábado no se ha logrado hacer algo al respecto.,2026-01-01,Abierto,,
49,DL-0013286,Se reporta que DL-0013286 desde el sábado no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Escalado,2026-01-02,
50,DL-0013287,Se reporta que DL-0013287 desde el viernes no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Escalado,2026-01-15,
51,DL-0013288,Se reporta que DL-0013288 desde el miércoles no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Atendido,2026-01-13,
52,DL-0013289,Se reporta que DL-0013289 desde el jueves no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
53,DL-0013290,Se reporta que DL-0013290 desde el viernes no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-11,
54,DL-0013291,Se reporta que DL-0013291 desde el jueves no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Atendido,2026-01-03,
55,DL-0013292,Se reporta que DL-0013292 desde el jueves no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Abierto,,
56,DL-0013293,Se reporta que DL-0013293 desde el viernes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
57,DL-0013294,Se reporta que DL-0013294 desde el viernes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Cerrado,2026-01-04,2026-01-08
58,DL-0013295,Se reporta que DL-0013295 desde el jueves no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,En Atención,2026-01-13,
59,DL-0013296,Se reporta que DL-0013296 desde el jueves no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Atendido,2026-01-13,
60,DL-0013297,Se reporta que DL-0013297 desde el sábado no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Cerrado,2026-01-03,2026-01-07
61,DL-0013298,Se reporta que DL-0013298 desde el martes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Atendido,2026-01-08,
62,DL-0013299,Se reporta que DL-0013299 desde el miércoles no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Cerrado,2026-01-09,2026-01-18
63,DL-0013300,Se reporta que DL-0013300 desde el jueves no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Atendido,2026-01-08,
64,DL-0013301,Se reporta que DL-0013301 desde el miércoles no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
65,DL-0013302,Se reporta que DL-0013302 desde el domingo no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Cerrado,2026-01-13,2026-01-21
66,DL-0013303,Se reporta que DL-0013303 desde el jueves no se ha logrado hacer algo al respecto.,2026-01-01,Escalado,2026-01-12,
67,DL-0013304,Se reporta que DL-0013304 desde el domingo no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
68,DL-0013305,Se reporta que DL-0013305 desde el domingo no se ha logrado hacer algo al respecto.,2026-01-01,Abierto,,
69,DL-0013306,Se reporta que DL-0013306 desde el martes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,En Atención,2026-01-02,
70,DL-0013307,Se reporta que DL-0013307 desde el sábado no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
71,DL-0013308,Se reporta que DL-0013308 desde el martes no se ha logrado hacer algo al respecto.,2026-01-01,Cerrado,2026-01-10,2026-01-17
72,DL-0013309,Se reporta que DL-0013309 desde el lunes no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-12,
73,DL-0013310,Se reporta que DL-0013310 desde el sábado no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Cerrado,2026-01-11,2026-01-12
74,DL-0013311,Se reporta que DL-0013311 desde el martes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,En Atención,2026-01-15,
75,DL-0013312,Se reporta que DL-0013312 desde el jueves no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
76,DL-0013313,Se reporta que DL-0013313 desde el martes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Atendido,2026-01-11,
77,DL-0013314,Se reporta que DL-0013314 desde el viernes no se ha logrado hacer algo al respecto.,2026-01-01,Escalado,2026-01-10,
78,DL-0013315,Se reporta que DL-0013315 desde el viernes no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Escalado,2026-01-15,
79,DL-0013316,Se reporta que DL-0013316 desde el sábado no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Abierto,,
80,DL-0013317,Se reporta que DL-0013317 desde el domingo no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,En Atención,2026-01-07,
81,DL-0013318,Se reporta que DL-0013318 desde el domingo no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Cerrado,2026-01-14,2026-01-16
82,DL-0013319,Se reporta que DL-0013319 desde el sábado no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Atendido,2026-01-15,
83,DL-0013320,Se reporta que DL-0013320 desde el lunes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
84,DL-0013321,Se reporta que DL-0013321 desde el domingo no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Abierto,,
85,DL-0013322,Se reporta que DL-0013322 desde el jueves no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Abierto,,
86,DL-0013323,Se reporta que DL-0013323 desde el martes no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,En Atención,2026-01-08,
87,DL-0013324,Se reporta que DL-0013324 desde el jueves no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-12,
88,DL-0013325,Se reporta que DL-0013325 desde el jueves no se ha logrado hacer algo al respecto.,2026-01-01,Cerrado,2026-01-15,2026-01-21
89,DL-0013326,Se reporta que DL-0013326 desde el miércoles no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Cerrado,2026-01-14,2026-01-19
90,DL-0013327,Se reporta que DL-0013327 desde el martes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,En Atención,2026-01-12,
91,DL-0013328,Se reporta que DL-0013328 desde el viernes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
92,DL-0013329,Se reporta que DL-0013329 desde el lunes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
93,DL-0013330,Se reporta que DL-0013330 desde el sábado no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,En Atención,2026-01-10,
94,DL-0013331,Se reporta que DL-0013331 desde el domingo no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Atendido,2026-01-03,
95,DL-0013332,Se reporta que DL-0013332 desde el domingo no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
96,DL-0013333,Se reporta que DL-0013333 desde el viernes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
97,DL-0013334,Se reporta que DL-0013334 desde el viernes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
98,DL-0013335,Se reporta que DL-0013335 desde el lunes no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Atendido,2026-01-13,
99,DL-0013336,Se reporta que DL-0013336 desde el lunes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Abierto,,
100,DL-0013337,Se reporta que DL-0013337 desde el miércoles no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Atendido,2026-01-08,
101,DL-0013338,Se reporta que DL-0013338 desde el lunes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Atendido,2026-01-09,
102,DL-0013339,Se reporta que DL-0013339 desde el domingo no se ha logrado hacer algo  funcional y  útil.,2026-01-01,En Atención,2026-01-04,
103,DL-0013340,Se reporta que DL-0013340 desde el martes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,En Atención,2026-01-14,
104,DL-0013341,Se reporta que DL-0013341 desde el miércoles no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
105,DL-0013342,Se reporta que DL-0013342 desde el martes no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Abierto,,
106,DL-0013343,Se reporta que DL-0013343 desde el sábado no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Escalado,2026-01-14,
107,DL-0013344,Se reporta que DL-0013344 desde el lunes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Cerrado,2026-01-10,2026-01-20
108,DL-0013345,Se reporta que DL-0013345 desde el domingo no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Escalado,2026-01-04,
109,DL-0013346,Se reporta que DL-0013346 desde el martes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
110,DL-0013347,Se reporta que DL-0013347 desde el viernes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Atendido,2026-01-04,
111,DL-0013348,Se reporta que DL-0013348 desde el miércoles no se ha logrado hacer algo al respecto.,2026-01-01,Escalado,2026-01-10,
112,DL-0013349,Se reporta que DL-0013349 desde el lunes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Escalado,2026-01-07,
113,DL-0013350,Se reporta que DL-0013350 desde el martes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Escalado,2026-01-02,
114,DL-0013351,Se reporta que DL-0013351 desde el lunes no se ha logrado hacer algo al respecto.,2026-01-01,Escalado,2026-01-15,
115,DL-0013352,Se reporta que DL-0013352 desde el domingo no se ha logrado hacer algo al respecto.,2026-01-01,Escalado,2026-01-06,
116,DL-0013353,Se reporta que DL-0013353 desde el sábado no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Atendido,2026-01-02,
117,DL-0013354,Se reporta que DL-0013354 desde el lunes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,En Atención,2026-01-07,
118,DL-0013355,Se reporta que DL-0013355 desde el miércoles no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Atendido,2026-01-09,
119,DL-0013356,Se reporta que DL-0013356 desde el miércoles no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Escalado,2026-01-06,
120,DL-0013357,Se reporta que DL-0013357 desde el sábado no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Atendido,2026-01-05,
121,DL-0013358,Se reporta que DL-0013358 desde el martes no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-05,
122,DL-0013359,Se reporta que DL-0013359 desde el viernes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Escalado,2026-01-05,
123,DL-0013360,Se reporta que DL-0013360 desde el domingo no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,En Atención,2026-01-02,
124,DL-0013361,Se reporta que DL-0013361 desde el jueves no se ha logrado hacer algo al respecto.,2026-01-01,Escalado,2026-01-12,
125,DL-0013362,Se reporta que DL-0013362 desde el martes no se ha logrado hacer algo al respecto.,2026-01-01,Atendido,2026-01-09,
126,DL-0013363,Se reporta que DL-0013363 desde el domingo no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Abierto,,
127,DL-0013364,Se reporta que DL-0013364 desde el martes no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Cerrado,2026-01-08,2026-01-18
128,DL-0013365,Se reporta que DL-0013365 desde el lunes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Atendido,2026-01-04,
129,DL-0013366,Se reporta que DL-0013366 desde el lunes no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Escalado,2026-01-15,
130,DL-0013367,Se reporta que DL-0013367 desde el sábado no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Atendido,2026-01-11,
131,DL-0013368,Se reporta que DL-0013368 desde el martes no se ha logrado hacer algo al respecto.,2026-01-01,Abierto,,
132,DL-0013369,Se reporta que DL-0013369 desde el miércoles no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Escalado,2026-01-14,
133,DL-0013370,Se reporta que DL-0013370 desde el lunes no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Escalado,2026-01-06,
134,DL-0013371,Se reporta que DL-0013371 desde el jueves no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Cerrado,2026-01-09,2026-01-22
135,DL-0013372,Se reporta que DL-0013372 desde el domingo no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Cerrado,2026-01-12,2026-01-20
136,DL-0013373,Se reporta que DL-0013373 desde el miércoles no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,Atendido,2026-01-09,
137,DL-0013374,Se reporta que DL-0013374 desde el martes no se ha logrado hacer algo  funcional y  útil.,2026-01-01,En Atención,2026-01-15,
138,DL-0013375,Se reporta que DL-0013375 desde el sábado no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Abierto,,
139,DL-0013376,Se reporta que DL-0013376 desde el sábado no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Abierto,,
140,DL-0013377,Se reporta que DL-0013377 desde el domingo no se ha logrado hacer algo al respecto.,2026-01-01,Escalado,2026-01-11,
141,DL-0013378,Se reporta que DL-0013378 desde el jueves no se ha logrado hacer algo  que mejore el rendimiento.,2026-01-01,En Atención,2026-01-07,
142,DL-0013379,Se reporta que DL-0013379 desde el martes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Abierto,,
143,DL-0013380,Se reporta que DL-0013380 desde el martes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Cerrado,2026-01-10,2026-01-11
144,DL-0013381,Se reporta que DL-0013381 desde el domingo no se ha logrado hacer algo  funcional y  útil.,2026-01-01,Escalado,2026-01-06,
145,DL-0013382,Se reporta que DL-0013382 desde el jueves no se ha logrado hacer algo  para solucionar el problema.,2026-01-01,Atendido,2026-01-09,
146,DL-0013383,Se reporta que DL-0013383 desde el jueves no se ha logrado hacer algo al respecto.,2026-01-01,Cerrado,2026-01-15,2026-01-19
147,DL-0013384,Se reporta que DL-0013384 desde el viernes no se ha logrado hacer algo al respecto.,2026-01-01,En Atención,2026-01-07,
148,DL-0013385,Se reporta que DL-0013385 desde el martes no se ha logrado hacer algo al respecto.,2026-01-01,En Atención,2026-01-07,
149,DL-0013386,Se reporta que DL-0013386 desde el martes no se ha logrado hacer algo que realmente arregle la situación.,2026-01-01,Atendido,2026-01-06,
